[2024-05-12T18:01:38.919+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-05-12T18:01:38.933+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: web_article_scraping.dvc_add_and_push manual__2024-05-12T18:01:15.254381+00:00 [queued]>
[2024-05-12T18:01:38.938+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: web_article_scraping.dvc_add_and_push manual__2024-05-12T18:01:15.254381+00:00 [queued]>
[2024-05-12T18:01:38.938+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-05-12T18:01:38.946+0000] {taskinstance.py:2330} INFO - Executing <Task(BashOperator): dvc_add_and_push> on 2024-05-12 18:01:15.254381+00:00
[2024-05-12T18:01:38.951+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=189) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-05-12T18:01:38.952+0000] {standard_task_runner.py:63} INFO - Started process 191 to run task
[2024-05-12T18:01:38.952+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'web_article_scraping', 'dvc_add_and_push', 'manual__2024-05-12T18:01:15.254381+00:00', '--job-id', '34', '--raw', '--subdir', 'DAGS_FOLDER/dag.py', '--cfg-path', '/tmp/tmpp7tnqpv7']
[2024-05-12T18:01:38.953+0000] {standard_task_runner.py:91} INFO - Job 34: Subtask dvc_add_and_push
[2024-05-12T18:01:38.982+0000] {task_command.py:426} INFO - Running <TaskInstance: web_article_scraping.dvc_add_and_push manual__2024-05-12T18:01:15.254381+00:00 [running]> on host 4d491b913ee9
[2024-05-12T18:01:39.031+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='web_article_scraping' AIRFLOW_CTX_TASK_ID='dvc_add_and_push' AIRFLOW_CTX_EXECUTION_DATE='2024-05-12T18:01:15.254381+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-05-12T18:01:15.254381+00:00'
[2024-05-12T18:01:39.032+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-05-12T18:01:39.033+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-05-12T18:01:39.033+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', '\ncd /opt/***/dags\npip install dvc && pip install dvc-gdrive && dvc init -f --no-scm && dvc remote add -d mygoogleDrive gdrive://1V2UrWUsSbvIBEZOPf39Cu3Cfqbnll4Gh && dvc add extracted_data.csv && dvc push -r mygoogleDrive']
[2024-05-12T18:01:39.040+0000] {subprocess.py:86} INFO - Output:
[2024-05-12T18:01:40.018+0000] {subprocess.py:93} INFO - Requirement already satisfied: dvc in /home/***/.local/lib/python3.12/site-packages (3.50.1)
[2024-05-12T18:01:40.077+0000] {subprocess.py:93} INFO - Requirement already satisfied: attrs>=22.2.0 in /home/***/.local/lib/python3.12/site-packages (from dvc) (23.2.0)
[2024-05-12T18:01:40.078+0000] {subprocess.py:93} INFO - Requirement already satisfied: celery in /home/***/.local/lib/python3.12/site-packages (from dvc) (5.4.0)
[2024-05-12T18:01:40.080+0000] {subprocess.py:93} INFO - Requirement already satisfied: colorama>=0.3.9 in /home/***/.local/lib/python3.12/site-packages (from dvc) (0.4.6)
[2024-05-12T18:01:40.081+0000] {subprocess.py:93} INFO - Requirement already satisfied: configobj>=5.0.6 in /home/***/.local/lib/python3.12/site-packages (from dvc) (5.0.8)
